Address;Name;Goodput;Delay
127.0.0.1;Bulk_0;6.097560882568359;164.0
127.0.0.1;Bulk_0;12.048192024230957;83.0
127.0.0.1;Bulk_0;5.235601902008057;191.0
127.0.0.1;Bulk_0;32.25806427001953;31.0
127.0.0.1;Bulk_0;9.803921699523926;102.0
127.0.0.1;Bulk_0;23.80952262878418;42.0
127.0.0.1;Bulk_0;16.129032135009766;62.0
127.0.0.1;Bulk_0;52.63157653808594;19.0
127.0.0.1;Bulk_0;20.83333396911621;48.0
127.0.0.1;Bulk_0;58.82353210449219;17.0
127.0.0.1;Bulk_0;83.33333587646484;12.0
127.0.0.1;Bulk_0;20.0;50.0
127.0.0.1;Bulk_0;17.85714340209961;56.0
127.0.0.1;Bulk_0;20.0;50.0
127.0.0.1;Bulk_0;23.255813598632812;43.0
127.0.0.1;Bulk_0;23.80952262878418;42.0
127.0.0.1;Bulk_0;19.230770111083984;52.0
127.0.0.1;Bulk_0;20.408164978027344;49.0
127.0.0.1;Bulk_0;12.5;80.0
127.0.0.1;Bulk_0;18.518518447875977;54.0
127.0.0.1;Bulk_0;27.027027130126953;37.0
127.0.0.1;Bulk_0;29.411766052246094;34.0
127.0.0.1;Bulk_0;14.925373077392578;67.0
127.0.0.1;Bulk_0;83.33333587646484;12.0
127.0.0.1;Bulk_0;83.33333587646484;12.0
127.0.0.1;Bulk_0;58.82353210449219;17.0
127.0.0.1;Bulk_0;31.25;32.0
127.0.0.1;Bulk_0;76.92308044433594;13.0
127.0.0.1;Bulk_0;83.33333587646484;12.0
127.0.0.1;Bulk_0;35.71428680419922;28.0
127.0.0.1;Bulk_0;45.45454788208008;22.0
127.0.0.1;Bulk_0;18.867923736572266;53.0
127.0.0.1;Bulk_0;20.0;50.0
127.0.0.1;Bulk_0;18.518518447875977;54.0
127.0.0.1;Bulk_0;100.0;10.0
127.0.0.1;Bulk_0;16.66666603088379;60.0
127.0.0.1;Bulk_0;40.0;25.0
127.0.0.1;Bulk_0;19.60784339904785;51.0
127.0.0.1;Bulk_0;29.411766052246094;34.0
