Time;Address;Goodput;Delay
11231;localhost;0,0000;NaN
11282;localhost;0,0000;NaN
11333;localhost;0,0000;NaN
11384;localhost;0,0000;NaN
11435;localhost;0,0000;NaN
11486;localhost;0,0000;NaN
11537;localhost;0,0000;NaN
11587;localhost;0,0000;NaN
11639;localhost;0,0000;NaN
11690;localhost;0,0000;NaN
11741;localhost;0,0000;NaN
11791;localhost;0,0000;NaN
11842;localhost;0,0000;NaN
11893;localhost;0,0000;NaN
11944;localhost;0,0000;NaN
11995;localhost;0,0000;NaN
12045;localhost;0,0000;NaN
12095;localhost;0,0000;NaN
12146;localhost;0,0000;NaN
12197;localhost;0,0000;NaN
12248;localhost;0,0000;NaN
12298;localhost;0,0000;NaN
12349;localhost;0,0000;NaN
12400;localhost;0,0000;NaN
12451;localhost;0,0000;NaN
12502;localhost;0,0000;NaN
12553;localhost;0,0000;NaN
12604;localhost;0,0000;NaN
12655;localhost;0,0000;NaN
12706;localhost;0,0000;NaN
12757;localhost;0,0000;NaN
12808;localhost;0,0000;NaN
12859;localhost;0,0000;NaN
12910;localhost;0,0000;NaN
12961;localhost;0,0000;NaN
13012;localhost;0,0000;NaN
13063;localhost;0,0000;NaN
13114;localhost;0,0000;NaN
13165;localhost;0,0000;NaN
13215;localhost;0,0000;NaN
13266;localhost;0,0000;NaN
13317;localhost;0,0000;NaN
13368;localhost;0,0000;NaN
13419;localhost;0,0000;NaN
13470;localhost;0,0000;NaN
13521;localhost;0,0000;NaN
13572;localhost;0,0000;NaN
13622;localhost;0,0000;NaN
13673;localhost;0,0000;NaN
13724;localhost;0,0000;NaN
13774;localhost;0,0000;NaN
13825;localhost;0,0000;NaN
13876;localhost;0,0000;NaN
13927;localhost;0,0000;NaN
13978;localhost;0,0000;NaN
14029;localhost;0,0000;NaN
14080;localhost;0,0000;NaN
14132;localhost;0,0000;NaN
14183;localhost;0,0000;NaN
14234;localhost;0,0000;NaN
14285;localhost;0,0000;NaN
14336;localhost;0,0000;NaN
14387;localhost;0,0000;NaN
14438;localhost;0,0000;NaN
14489;localhost;0,0000;NaN
14540;localhost;0,0000;NaN
14591;localhost;0,0000;NaN
14642;localhost;0,0000;NaN
14693;localhost;0,0000;NaN
14744;localhost;0,0000;NaN
14795;localhost;0,0000;NaN
14868;localhost;0,0000;NaN
14918;localhost;0,0000;NaN
14968;localhost;0,0000;NaN
15019;localhost;0,0000;NaN
15069;localhost;0,0000;NaN
15120;localhost;0,0000;NaN
15171;localhost;0,0000;NaN
15221;localhost;0,0000;NaN
15272;localhost;0,0000;NaN
15323;localhost;0,0000;NaN
15374;localhost;0,0000;NaN
15424;localhost;0,0000;NaN
15475;localhost;0,0000;NaN
15526;localhost;0,0000;NaN
15577;localhost;0,0000;NaN
15628;localhost;0,0000;NaN
15679;localhost;0,0000;NaN
15730;localhost;0,0000;NaN
15781;localhost;0,0000;NaN
15831;localhost;0,0000;NaN
15882;localhost;0,0000;NaN
15933;localhost;0,0000;NaN
15984;localhost;0,0000;NaN
16035;localhost;0,0000;NaN
16085;localhost;0,0000;NaN
16136;localhost;0,0000;NaN
16187;localhost;0,0000;NaN
16238;localhost;0,0000;NaN
16289;localhost;0,0000;NaN
16340;localhost;0,0000;NaN
16390;localhost;0,0000;NaN
16441;localhost;0,0000;NaN
16492;localhost;0,0000;NaN
16543;localhost;0,0000;NaN
16593;localhost;0,0000;NaN
16644;localhost;0,0000;NaN
16695;localhost;0,0000;NaN
16745;localhost;0,0000;NaN
16796;localhost;0,0000;NaN
16846;localhost;0,0000;NaN
16897;localhost;0,0000;NaN
16948;localhost;0,0000;NaN
16999;localhost;0,0000;NaN
17049;localhost;0,0000;NaN
17100;localhost;0,0000;NaN
17151;localhost;0,0000;NaN
17202;localhost;0,0000;NaN
17253;localhost;0,0000;NaN
17303;localhost;0,0000;NaN
17354;localhost;0,0000;NaN
17405;localhost;0,0000;NaN
17456;localhost;0,0000;NaN
17507;localhost;0,0000;NaN
17557;localhost;0,0000;NaN
17608;localhost;0,0000;NaN
17659;localhost;0,0000;NaN
17709;localhost;0,0000;NaN
17760;localhost;0,0000;NaN
17810;localhost;0,0000;NaN
17861;localhost;0,0000;NaN
17912;localhost;0,0000;NaN
17962;localhost;0,0000;NaN
18013;localhost;0,0000;NaN
18064;localhost;0,0000;NaN
18114;localhost;0,0000;NaN
18165;localhost;0,0000;NaN
18216;localhost;0,0000;NaN
18267;localhost;0,0000;NaN
18317;localhost;0,0000;NaN
18368;localhost;0,0000;NaN
18418;localhost;0,0000;NaN
18469;localhost;0,0000;NaN
18520;localhost;0,0000;NaN
18570;localhost;0,0000;NaN
18621;localhost;0,0000;NaN
18671;localhost;0,0000;NaN
18722;localhost;0,0000;NaN
18772;localhost;0,0000;NaN
18823;localhost;0,0000;NaN
18874;localhost;0,0000;NaN
18924;localhost;0,0000;NaN
18975;localhost;0,0000;NaN
19026;localhost;0,0000;NaN
19076;localhost;0,0000;NaN
19127;localhost;0,0000;NaN
19177;localhost;0,0000;NaN
19228;localhost;0,0000;NaN
19278;localhost;0,0000;NaN
19329;localhost;0,0000;NaN
19380;localhost;0,0000;NaN
19430;localhost;0,0000;NaN
19481;localhost;0,0000;NaN
19532;localhost;0,0000;NaN
19582;localhost;0,0000;NaN
19633;localhost;0,0000;NaN
19684;localhost;0,0000;NaN
19734;localhost;0,0000;NaN
19785;localhost;0,0000;NaN
19835;localhost;0,0000;NaN
19886;localhost;0,0000;NaN
19937;localhost;0,0000;NaN
19987;localhost;0,0000;NaN
20038;localhost;0,0000;NaN
20088;localhost;0,0000;NaN
20139;localhost;0,0000;NaN
20189;localhost;0,0000;NaN
20240;localhost;0,0000;NaN
20291;localhost;0,0000;NaN
20341;localhost;0,0000;NaN
20392;localhost;0,0000;NaN
20443;localhost;0,0000;NaN
20493;localhost;0,0000;NaN
20544;localhost;0,0000;NaN
20595;localhost;0,0000;NaN
20646;localhost;0,0000;NaN
20697;localhost;0,0000;NaN
20747;localhost;0,0000;NaN
20798;localhost;0,0000;NaN
20848;localhost;0,0000;NaN
20899;localhost;0,0000;NaN
20949;localhost;0,0000;NaN
21000;localhost;0,0000;NaN
21050;localhost;0,0000;NaN
21101;localhost;0,0000;NaN
21151;localhost;0,0000;NaN
21202;localhost;0,0000;NaN
21253;localhost;0,0000;NaN
21304;localhost;0,0000;NaN
21354;localhost;0,0000;NaN
21405;localhost;0,0000;NaN
21456;localhost;0,0000;NaN
21506;localhost;0,0000;NaN
21557;localhost;0,0000;NaN
21607;localhost;0,0000;NaN
21658;localhost;0,0000;NaN
21709;localhost;0,0000;NaN
21759;localhost;0,0000;NaN
21810;localhost;0,0000;NaN
21861;localhost;0,0000;NaN
21912;localhost;0,0000;NaN
21963;localhost;0,0000;NaN
22013;localhost;0,0000;NaN
22064;localhost;0,0000;NaN
22114;localhost;0,0000;NaN
22165;localhost;0,0000;NaN
22215;localhost;0,0000;NaN
22266;localhost;0,0000;NaN
22317;localhost;0,0000;NaN
22367;localhost;0,0000;NaN
22418;localhost;0,0000;NaN
22468;localhost;0,0000;NaN
22519;localhost;0,0000;NaN
22570;localhost;0,0000;NaN
22620;localhost;0,0000;NaN
22671;localhost;0,0000;NaN
22722;localhost;0,0000;NaN
22772;localhost;0,0000;NaN
22825;localhost;0,0000;NaN
22876;localhost;0,0000;NaN
22927;localhost;0,0000;NaN
22977;localhost;0,0000;NaN
23028;localhost;0,0000;NaN
23078;localhost;0,0000;NaN
23129;localhost;0,0000;NaN
23180;localhost;0,0000;NaN
23230;localhost;0,0000;NaN
23281;localhost;0,0000;NaN
23331;localhost;0,0000;NaN
23382;localhost;0,0000;NaN
23433;localhost;0,0000;NaN
23484;localhost;0,0000;NaN
23535;localhost;0,0000;NaN
23585;localhost;0,0000;NaN
23636;localhost;0,0000;NaN
23686;localhost;0,0000;NaN
23736;localhost;0,0000;NaN
23787;localhost;0,0000;NaN
23838;localhost;0,0000;NaN
23888;localhost;0,0000;NaN
23939;localhost;0,0000;NaN
23990;localhost;0,0000;NaN
24040;localhost;0,0000;NaN
24091;localhost;0,0000;NaN
24142;localhost;0,0000;NaN
24192;localhost;0,0000;NaN
24243;localhost;0,0000;NaN
24294;localhost;0,0000;NaN
24344;localhost;0,0000;NaN
24395;localhost;0,0000;NaN
24446;localhost;0,0000;NaN
24496;localhost;0,0000;NaN
24547;localhost;0,0000;NaN
24597;localhost;0,0000;NaN
24648;localhost;0,0000;NaN
24699;localhost;0,0000;NaN
24751;localhost;0,0000;NaN
24801;localhost;0,0000;NaN
24852;localhost;0,0000;NaN
24902;localhost;0,0000;NaN
24953;localhost;0,0000;NaN
25004;localhost;0,0000;NaN
25055;localhost;0,0000;NaN
25105;localhost;0,0000;NaN
25156;localhost;0,0000;NaN
25207;localhost;0,0000;NaN
25258;localhost;0,0000;NaN
25309;localhost;0,0000;NaN
25359;localhost;0,0000;NaN
25410;localhost;0,0000;NaN
25461;localhost;0,0000;NaN
25512;localhost;0,0000;NaN
25563;localhost;0,0000;NaN
25614;localhost;0,0000;NaN
25665;localhost;0,0000;NaN
25716;localhost;0,0000;NaN
25767;localhost;0,0000;NaN
25818;localhost;0,0000;NaN
25869;localhost;0,0000;NaN
25919;localhost;0,0000;NaN
25970;localhost;0,0000;NaN
26021;localhost;0,0000;NaN
26072;localhost;0,0000;NaN
26123;localhost;0,0000;NaN
26174;localhost;0,0000;NaN
26225;localhost;0,0000;NaN
26275;localhost;0,0000;NaN
26326;localhost;0,0000;NaN
26377;localhost;0,0000;NaN
26428;localhost;0,0000;NaN
26479;localhost;0,0000;NaN
26529;localhost;0,0000;NaN
26580;localhost;0,0000;NaN
26631;localhost;0,0000;NaN
26681;localhost;0,0000;NaN
26732;localhost;0,0000;NaN
26783;localhost;0,0000;NaN
26834;localhost;0,0000;NaN
26884;localhost;0,0000;NaN
26935;localhost;0,0000;NaN
26985;localhost;0,0000;NaN
27036;localhost;0,0000;NaN
27088;localhost;0,0000;NaN
27139;localhost;0,0000;NaN
27190;localhost;0,0000;NaN
27240;localhost;0,0000;NaN
27291;localhost;0,0000;NaN
27341;localhost;0,0000;NaN
27392;localhost;0,0000;NaN
27442;localhost;0,0000;NaN
27493;localhost;0,0000;NaN
27544;localhost;0,0000;NaN
27594;localhost;0,0000;NaN
27645;localhost;0,0000;NaN
27695;localhost;0,0000;NaN
27746;localhost;0,0000;NaN
27796;localhost;0,0000;NaN
27847;localhost;0,0000;NaN
27897;localhost;0,0000;NaN
27947;localhost;0,0000;NaN
27998;localhost;0,0000;NaN
28048;localhost;0,0000;NaN
28099;localhost;0,0000;NaN
28149;localhost;0,0000;NaN
28200;localhost;0,0000;NaN
28250;localhost;0,0000;NaN
28301;localhost;0,0000;NaN
28351;localhost;0,0000;NaN
28402;localhost;0,0000;NaN
28452;localhost;0,0000;NaN
28503;localhost;0,0000;NaN
28553;localhost;0,0000;NaN
28604;localhost;0,0000;NaN
28654;localhost;0,0000;NaN
28705;localhost;0,0000;NaN
28755;localhost;0,0000;NaN
28806;localhost;0,0000;NaN
28856;localhost;0,0000;NaN
28907;localhost;0,0000;NaN
28957;localhost;0,0000;NaN
29008;localhost;0,0000;NaN
29058;localhost;0,0000;NaN
29109;localhost;0,0000;NaN
29159;localhost;0,0000;NaN
29210;localhost;0,0000;NaN
29261;localhost;0,0000;NaN
29311;localhost;0,0000;NaN
29362;localhost;0,0000;NaN
29412;localhost;0,0000;NaN
29463;localhost;0,0000;NaN
29513;localhost;0,0000;NaN
29564;localhost;0,0000;NaN
29615;localhost;0,0000;NaN
29665;localhost;0,0000;NaN
29716;localhost;0,0000;NaN
29767;localhost;0,0000;NaN
29817;localhost;0,0000;NaN
29868;localhost;0,0000;NaN
29918;localhost;0,0000;NaN
29969;localhost;0,0000;NaN
30020;localhost;0,0000;NaN
30071;localhost;0,0000;NaN
30121;localhost;0,0000;NaN
30172;localhost;0,0000;NaN
30223;localhost;0,0000;NaN
30273;localhost;0,0000;NaN
30324;localhost;0,0000;NaN
30375;localhost;0,0000;NaN
30425;localhost;0,0000;NaN
30476;localhost;0,0000;NaN
30527;localhost;0,0000;NaN
30577;localhost;0,0000;NaN
30628;localhost;0,0000;NaN
30679;localhost;0,0000;NaN
30729;localhost;0,0000;NaN
30780;localhost;0,0000;NaN
30831;localhost;0,0000;NaN
30881;localhost;0,0000;NaN
30932;localhost;0,0000;NaN
30983;localhost;0,0000;NaN
31033;localhost;0,0000;NaN
31084;localhost;0,0000;NaN
31135;localhost;0,0000;NaN
31185;localhost;0,0000;NaN
31236;localhost;0,0000;NaN
31286;localhost;0,0000;NaN
31337;localhost;0,0000;NaN
31388;localhost;0,0000;NaN
31439;localhost;0,0000;NaN
31489;localhost;0,0000;NaN
31540;localhost;0,0000;NaN
31591;localhost;0,0000;NaN
31641;localhost;0,0000;NaN
31692;localhost;0,0000;NaN
31742;localhost;0,0000;NaN
31793;localhost;0,0000;NaN
31843;localhost;0,0000;NaN
31894;localhost;0,0000;NaN
31945;localhost;0,0000;NaN
31995;localhost;0,0000;NaN
32046;localhost;0,0000;NaN
32096;localhost;0,0000;NaN
32147;localhost;0,0000;NaN
32198;localhost;0,0000;NaN
32248;localhost;0,0000;NaN
32299;localhost;0,0000;NaN
32349;localhost;0,0000;NaN
32400;localhost;0,0000;NaN
32450;localhost;0,0000;NaN
32501;localhost;0,0000;NaN
32552;localhost;0,0000;NaN
32602;localhost;0,0000;NaN
32653;localhost;0,0000;NaN
32703;localhost;0,0000;NaN
32754;localhost;0,0000;NaN
32805;localhost;0,0000;NaN
32855;localhost;0,0000;NaN
32905;localhost;0,0000;NaN
32956;localhost;0,0000;NaN
33006;localhost;0,0000;NaN
33057;localhost;0,0000;NaN
33107;localhost;0,0000;NaN
33158;localhost;0,0000;NaN
33208;localhost;0,0000;NaN
33259;localhost;0,0000;NaN
33309;localhost;0,0000;NaN
33360;localhost;0,0000;NaN
33410;localhost;0,0000;NaN
33461;localhost;0,0000;NaN
33511;localhost;0,0000;NaN
33562;localhost;0,0000;NaN
33613;localhost;0,0000;NaN
33663;localhost;0,0000;NaN
33714;localhost;0,0000;NaN
33764;localhost;0,0000;NaN
33815;localhost;0,0000;NaN
33866;localhost;0,0000;NaN
33916;localhost;0,0000;NaN
33967;localhost;0,0000;NaN
34017;localhost;0,0000;NaN
34068;localhost;0,0000;NaN
34119;localhost;0,0000;NaN
34169;localhost;0,0000;NaN
34220;localhost;0,0000;NaN
